GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,Winrate
Overall,2022-23,1610612746,LAC,2022-10-31T00:00:00,5,1,4,0.2,3.3,1.0,2.0,0.5,0.4,0.6,0.667,0.2,0.4,0.5,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.2,2.6,0.4,3.1,0,0,3.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612761,TOR,2022-11-28T00:00:00,16,10,6,0.625,23.7,4.3,9.2,0.469,0.9,3.1,0.3,2.9,3.9,0.73,2.6,4.1,6.6,0.6,0.9,0.9,0.8,0.8,2.6,3.4,12.4,1.8,25.4,4,0,23.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612759,SAS,2022-11-26T00:00:00,8,1,7,0.125,15.5,1.6,5.1,0.317,0.9,3.1,0.28,0.6,0.8,0.833,0.3,1.4,1.6,1.5,0.9,0.1,0.0,0.1,0.6,0.5,4.8,-2.9,8.5,0,0,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612743,DEN,2022-11-28T00:00:00,19,12,7,0.632,13.8,1.2,2.9,0.411,0.4,1.1,0.35,0.4,0.7,0.538,0.7,1.5,2.2,0.8,0.3,0.4,0.2,0.4,1.0,0.4,3.2,-3.1,8.4,0,0,7.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612756,PHX,2022-11-28T00:00:00,20,14,6,0.7,37.3,6.3,11.7,0.534,1.6,3.5,0.443,2.0,2.3,0.87,1.1,4.3,5.4,3.5,1.2,1.3,1.1,0.4,2.1,2.4,16.1,6.8,33.5,1,0,31.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612754,IND,2022-11-28T00:00:00,15,9,6,0.6,14.2,1.5,3.8,0.386,0.9,2.5,0.342,0.7,1.0,0.667,0.7,1.6,2.3,0.4,0.3,0.6,0.1,0.2,1.0,0.7,4.5,0.1,9.7,0,0,9.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612738,BOS,2022-11-28T00:00:00,17,13,4,0.765,22.7,4.9,10.0,0.488,1.8,3.8,0.469,2.5,2.9,0.857,0.9,3.1,3.9,3.8,1.9,0.5,0.2,0.9,1.4,2.5,14.0,5.3,24.9,0,0,25.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612763,MEM,2022-11-27T00:00:00,17,10,7,0.588,30.6,6.6,16.4,0.406,2.2,6.5,0.345,2.1,2.8,0.745,0.8,2.8,3.6,2.8,1.4,0.8,0.1,0.5,3.2,2.3,17.6,6.8,27.5,0,0,28.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612743,DEN,2022-11-28T00:00:00,20,13,7,0.65,29.2,4.4,9.4,0.468,1.3,3.3,0.385,1.0,1.1,0.864,1.1,3.4,4.5,4.7,1.8,1.1,0.6,0.7,2.3,1.2,11.0,-1.6,26.4,3,1,24.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612738,BOS,2022-11-27T00:00:00,19,15,4,0.789,35.4,9.8,19.4,0.507,2.3,6.6,0.344,4.2,5.0,0.832,0.9,5.6,6.5,3.4,3.2,1.1,0.3,1.1,2.8,3.8,26.1,3.8,39.9,2,0,41.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
